seqnames,start,end,width,strand,name,score,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr9,118631185,118631585,401,*,152228,0,Distal Intergenic,9,118592786,118597253,4468,2,105376249,ENST00000770014.1,-33932,NA,LOC105376249,uncharacterized LOC105376249
chr7,136303041,136303441,401,*,138564,0,Promoter (<=1kb),7,136304411,136437444,133034,1,105375523,ENST00000670875.1,-970,ENSG00000232053,LOC105375523,uncharacterized LOC105375523
chrX,77743104,77743504,401,*,156443,0,Intron (ENST00000373344.11/546, intron 1 of 34),23,77697603,77786204,88602,2,546,ENST00000624193.1,42700,ENSG00000085224,ATRX,ATRX chromatin remodeler
chr22,26827129,26827529,401,*,91230,0,Intron (ENST00000717180.1/440823, intron 4 of 6),22,26858634,26865786,7153,1,110091768,ENST00000434868.1,-31105,NA,LOC110091768,uncharacterized LOC110091768
chr1,32304006,32304406,401,*,2738,0,Intron (ENST00000373548.8/3065, intron 2 of 13),1,32292161,32327677,35517,1,3065,ENST00000472928.5,11845,ENSG00000116478,HDAC1,histone deacetylase 1
chr8,102613825,102614225,401,*,144484,0,Distal Intergenic,8,102627761,102666410,38650,1,101927245,ENST00000731685.1,-13536,ENSG00000283959,LOC101927245,uncharacterized LOC101927245
chr15,47688640,47689040,401,*,48531,0,Intron (ENST00000558014.5/80031, intron 4 of 19),15,47716998,47761428,44431,1,80031,ENST00000561133.5,-27958,ENSG00000137872,SEMA6D,semaphorin 6D
chrX,71658687,71659087,401,*,156318,0,Distal Intergenic,23,71662995,71663403,409,2,100129291,ENST00000793406.1,4316,ENSG00000291017,LOC100129291,chromosome X open reading frame 49 pseudogene
chr17,44807839,44808239,401,*,60196,0,Promoter (<=1kb),17,44803034,44807884,4851,2,10052,ENST00000330514.4,0,ENSG00000182963,GJC1,gap junction protein gamma 1
chr12,112403458,112403858,401,*,36722,0,Promoter (2-3kb),12,112405190,112406344,1155,2,6128,ENST00000553205.1,2486,ENSG00000089009,RPL6,ribosomal protein L6
chr7,2774912,2775312,401,*,131581,0,Exon (ENST00000433945.1/ENST00000433945.1, exon 2 of 2),7,2729824,2763327,33504,2,2768,ENST00000496740.6,-11585,ENSG00000146535,GNA12,G protein subunit alpha 12
chr9,99809588,99809988,401,*,150970,0,Exon (ENST00000725636.1/101928438, exon 2 of 4),9,99718159,99815687,97529,2,101928438,ENST00000725642.1,5699,ENSG00000271086,LOC101928438,uncharacterized LOC101928438
chr7,42035230,42035630,401,*,133856,0,Intron (ENST00000677288.1/2737, intron 6 of 13),7,41972440,41977922,5483,2,2737,ENST00000464291.1,-57308,ENSG00000106571,GLI3,GLI family zinc finger 3
chr3,37064760,37065160,401,*,95155,0,Promoter (<=1kb),3,37053004,37065334,12331,2,9209,ENST00000460646.5,174,ENSG00000093167,LRRFIP2,LRR binding FLII interacting protein 2
chr8,134085708,134086108,401,*,146587,0,Intron (ENST00000828802.1/ENST00000828802.1, intron 2 of 3),8,133886496,133902407,15912,1,101927822,ENST00000520149.2,199212,ENSG00000253593,LOC101927822,uncharacterized LOC101927822
chr13,47685092,47685492,401,*,39903,0,Intron (ENST00000765501.1/ENST00000765501.1, intron 1 of 1),13,47930153,47932622,2470,2,100861549,ENST00000566385.2,247130,ENSG00000260388,LINC00562,long intergenic non-protein coding RNA 562
chr3,53150125,53150525,401,*,96338,0,Distal Intergenic,3,53156009,53179694,23686,1,5580,ENST00000478843.5,-5484,ENSG00000163932,PRKCD,protein kinase C delta
chrX,108313228,108313628,401,*,156856,0,Intron (ENST00000372216.8/1288, intron 2 of 44),23,108218151,108220379,2229,1,124905205,ENST00000792820.1,95077,ENSG00000303214,LOC124905205,uncharacterized LOC124905205
chrX,13149678,13150078,401,*,154519,0,Intron (ENST00000840939.1/105373133, intron 3 of 3),23,13157580,13164764,7185,2,105373134,ENST00000841187.1,14686,NA,LOC105373134,uncharacterized LOC105373134
chr2,235008623,235009023,401,*,83718,0,Intron (ENST00000392011.7/23677, intron 2 of 5),2,234994840,235040942,46103,1,23677,ENST00000454947.1,13783,ENSG00000130147,SH3BP4,SH3 domain binding protein 4
chr3,39541912,39542312,401,*,95332,0,Distal Intergenic,3,39502215,39524556,22342,1,4336,ENST00000479860.1,39697,ENSG00000168314,MOBP,myelin associated oligodendrocyte basic protein
chr3,15387254,15387654,401,*,94039,0,Intron (ENST00000443029.5/131965, intron 6 of 6),3,15383643,15399491,15849,2,131965,ENST00000584799.1,11837,ENSG00000206562,METTL6,methyltransferase 6, tRNA N3-cytidine
chr16,19691123,19691523,401,*,53592,0,Promoter (<=1kb),16,19691456,19706793,15338,1,57020,ENST00000542027.3,0,ENSG00000103544,VPS35L,VPS35 endosomal protein sorting factor like
chr2,203630531,203630931,401,*,81668,0,Intron (ENST00000732639.1/ENST00000732639.1, intron 1 of 2),2,203706517,203735676,29160,1,940,ENST00000718458.1,-75586,ENSG00000178562,CD28,CD28 molecule
chr8,53516182,53516582,401,*,142127,0,Exon (ENST00000670326.1/100507516, exon 2 of 2),8,53408387,53523630,115244,2,100507516,ENST00000834754.1,7048,ENSG00000237807,LINC02984,long intergenic non-protein coding RNA 2984
chr15,80662143,80662543,401,*,51095,0,Distal Intergenic,15,80679684,80754519,74836,1,58489,ENST00000560609.1,-17141,ENSG00000136379,ABHD17C,abhydrolase domain containing 17C, depalmitoylase
chr2,9918325,9918725,401,*,71502,0,Intron (ENST00000263663.10/9014, intron 12 of 14),2,9939317,9940801,1485,2,105373422,ENST00000826148.1,22076,ENSG00000287305,LOC105373422,uncharacterized LOC105373422
chr13,98103576,98103976,401,*,41371,0,Intron (ENST00000717002.1/105370328, intron 1 of 4),13,98069316,98091706,22391,1,107984566,ENST00000748011.1,34260,NA,LOC107984566,uncharacterized LOC107984566
chr12,19910590,19910990,401,*,31581,0,Intron (ENST00000716354.1/100506393, intron 1 of 10),12,19838069,19916582,78514,2,105369682,ENST00000788872.1,5592,NA,LOC105369682,uncharacterized LOC105369682
chr9,78443946,78444346,401,*,149519,0,Distal Intergenic,9,78450035,78527528,77494,1,107987083,ENST00000832902.1,-5689,NA,LOC107987083,uncharacterized LOC107987083
chr2,214497546,214497946,401,*,82152,0,Promoter (2-3kb),2,214241676,214494604,252929,2,124907973,ENST00000661682.1,-2942,NA,LOC124907973,uncharacterized LOC124907973
chr4,126209125,126209525,401,*,109602,0,Distal Intergenic,4,126226885,126238230,11346,2,105377409,ENST00000840083.1,28705,NA,LOC105377409,uncharacterized LOC105377409
chr9,18078293,18078693,401,*,147943,0,Intron (ENST00000680146.1/92949, intron 1 of 29),9,17905441,17907336,1896,2,105375987,ENST00000802488.1,-170957,NA,LOC105375987,uncharacterized LOC105375987
chr10,48973054,48973454,401,*,17467,0,Intron (ENST00000325239.12/57705, intron 57 of 61),10,48968984,48976959,7976,1,57705,ENST00000497480.1,4070,ENSG00000128815,WDFY4,WDFY family member 4
chr5,146828324,146828724,401,*,119517,0,Intron (ENST00000394411.9/5521, intron 2 of 9),5,146589947,146878581,288635,2,5521,ENST00000512639.5,49857,ENSG00000156475,PPP2R2B,protein phosphatase 2 regulatory subunit Bbeta
chr2,19701199,19701599,401,*,72089,0,Distal Intergenic,2,19711667,19717576,5910,1,105373461,ENST00000432822.2,-10068,NA,LOC105373461,uncharacterized LOC105373461
chr12,72511967,72512367,401,*,34523,0,Intron (ENST00000547300.2/29953, intron 2 of 4),12,72560539,72618952,58414,1,29953,ENST00000549138.5,-48172,ENSG00000072657,TRHDE,thyrotropin releasing hormone degrading enzyme
chr8,106890461,106890861,401,*,144762,0,Promoter (1-2kb),8,106891915,106897907,5993,1,124902066,ENST00000766416.1,-1054,NA,LOC124902066,uncharacterized LOC124902066
chr14,96349349,96349749,401,*,46421,0,Intron (ENST00000359933.6/55102, intron 1 of 41),14,96279195,96363341,84147,2,55102,ENST00000359933.6,13592,ENSG00000066739,ATG2B,autophagy related 2B
chr1,154129361,154129761,401,*,8797,0,Intron (ENST00000368559.8/91181, intron 7 of 39),1,154104521,154104592,72,2,100847024,ENST00000577643.1,-24769,ENSG00000263987,MIR5698,microRNA 5698
chr5,135384051,135384451,401,*,118601,0,Intron (ENST00000511689.6/9555, intron 2 of 8),5,135334406,135389040,54635,2,9555,ENST00000688649.1,4589,ENSG00000113648,MACROH2A1,macroH2A.1 histone
chr1,161978018,161978418,401,*,9371,0,Distal Intergenic,1,161983553,161985232,1680,2,25903,ENST00000367938.1,6814,ENSG00000162745,OLFML2B,olfactomedin like 2B
chr10,37734969,37735369,401,*,17041,0,Distal Intergenic,10,37775371,37784131,8761,2,57209,ENST00000432530.1,48762,ENSG00000198105,ZNF248,zinc finger protein 248
chr2,197959033,197959433,401,*,81273,0,Intron (ENST00000428675.6/5334, intron 1 of 5),2,197810258,198146932,336675,1,5334,ENST00000487695.6,148775,ENSG00000115896,PLCL1,phospholipase C like 1 (inactive)
chr1,180174015,180174415,401,*,10512,0,Intron (ENST00000367602.8/5768, intron 2 of 11),1,180154897,180198034,43138,1,5768,ENST00000367600.5,19118,ENSG00000116260,QSOX1,quiescin sulfhydryl oxidase 1
